"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"52404",360,68,0,"A_25_P00010130","hsa-miR-497-5p",-2.23458389853019,6.9438591442167,-5.55111848672776,2.40183043722803e-05,0.00214686100516759,2.78056093100218
"34689",238,47,0,"A_25_P00013484","hsa-miR-29c-5p",-1.44827878215512,6.64989207430012,-5.54829489585215,2.4165897852997e-05,0.00215661397973466,2.77466530724585
"21374",147,30,0,"A_25_P00013484","hsa-miR-29c-5p",-1.32859381299722,6.65102600550685,-5.5472631472322,2.42200604051906e-05,0.00215801123266853,2.77251079346668
"10693",73,124,0,"A_25_P00010130","hsa-miR-497-5p",-2.23565321366886,6.97400633839166,-5.54648485977277,2.42609995462393e-05,0.00215822771201498,2.77088547808489
"36719",252,58,0,"A_25_P00012002","hsa-miR-26b-5p",-2.87720100112181,9.51968764116068,-5.53957523704247,2.46275787635611e-05,0.00218736612396992,2.75645282200419
"52658",362,22,0,"A_25_P00011998","hsa-miR-26a-5p",-2.68946043853226,9.53837280159892,-5.5313768019258,2.50699020739765e-05,0.00222312910100307,2.73932083273358
"17065",117,109,0,"A_25_P00012275","hsa-miR-29c-3p",-4.0530093623704,10.4758102135627,-5.53014695437415,2.51369533359196e-05,0.00222555357465763,2.73675018117589
"55305",380,3,1,"miRNABrightCorner30","miRNABrightCorner30",2.13016296140671,11.9568422097151,5.52791504002758,2.52591066877414e-05,0.00223284128581669,2.7320845366591
"18645",128,73,0,"A_25_P00010130","hsa-miR-497-5p",-2.2467802061581,7.00797463781886,-5.52438597300315,2.54534953887692e-05,0.00224294920686821,2.72470610318895
"14938",103,25,0,"A_25_P00010474","hsa-miR-100-5p",-3.59296993131168,9.77524323210627,-5.51432571520952,2.60160871203791e-05,0.00228892556762092,2.70366451976126
"53102",365,18,0,"A_25_P00013436","hsa-miR-136-3p",-1.21499734959253,5.84159919108259,-5.51211894228003,2.61411881639109e-05,0.00229273356722726,2.69904735281993
"5666",39,66,0,"A_25_P00015042","hsa-miR-1271-5p",-1.14024478198895,5.82019310544379,-5.50735833384814,2.64131668877135e-05,0.00231296800789847,2.68908493876164
"18339",126,57,0,"A_25_P00014589","hsa-miR-125b-2-3p",-1.39629174405331,6.40074943042093,-5.50622085011852,2.64785803047216e-05,0.00231507886832733,2.68670416293811
"45596",313,92,0,"A_25_P00010130","hsa-miR-497-5p",-2.31209667688065,6.92533135386539,-5.50339405929062,2.66418601007575e-05,0.00232516750058447,2.68078698314867
"10446",72,16,0,"A_25_P00011998","hsa-miR-26a-5p",-2.76532876335281,9.5864382090436,-5.50278896606519,2.66769449517489e-05,0.00232516750058447,2.67952025122166
"17005",117,46,0,"A_25_P00010474","hsa-miR-100-5p",-3.57045558705018,9.99612713104008,-5.50154397460083,2.67492815975699e-05,0.00232785207741337,2.67691379120635
"13805",95,52,0,"A_25_P00013311","hsa-miR-34a-3p",-1.03329408815521,5.86341099365446,-5.49985478945649,2.68477480175543e-05,0.00232918760045791,2.67337709919402
"15896",109,116,0,"A_25_P00013922","hsa-miR-30b-5p",-2.03592729206358,9.27728771892599,-5.48291803104488,2.78557828432839e-05,0.00240546917360401,2.63789791283362
"4468",31,34,0,"A_25_P00010475","hsa-miR-100-5p",-3.00009218839923,8.45464324885304,-5.4821136211817,2.79046121047169e-05,0.00240597858584116,2.63621200889527
"817",6,54,0,"A_25_P00010474","hsa-miR-100-5p",-3.43072410093815,9.78760938559462,-5.47170953662833,2.85441129655442e-05,0.0024535678942346,2.61440014815486
